Food	食物
Astro Chicken	太空雞
Hamburgers	漢堡
Cheeseburgers	起司堡
Shakes	奶昔
Fries	薯條
Colas	可樂
Newspaper	報紙
Lottery Tickets	彩券
Trade School	技職學校
Electronics	電子學
Pre Engineering	工程預科
Engineering	工程學
Junior College	專科
Business Admin.	企管
Academic	學術
Graduate School	研究所
Post Doctoral	博士後
Research	研究
Publishing	出版
Refrigerator	冰箱
Freezer	冷凍庫
Stove	爐具
Color TV	彩色電視
Vcr	錄放影機
Stereo	音響
Microwave	微波爐
Hot Tub	按摩浴缸
Computer	電腦
Black & White TV	黑白電視
Encyclopedia	百科全書
Dictionary	字典
Atlas	地圖集
Business Suit	西裝
Leisure Suit	休閒服
Casual Clothes	便服
Baseball Tickets	棒球票
Theatre Tickets	戲票
Concert Tickets	演唱會票
Rent Low Cost	租平價屋
Rent Security	租保全屋
Clerk	店員
Janitor	工友
Cook	廚師
Assist. Manager	副理
Manager	經理
Salesperson	業務員
Teacher	教師
Professor	教授
Assembly Worker	裝配工
Secretary	秘書
Machinist Helper	技工助手
Exec. Secretary	執行秘書
Machinist	技工
Engineer	工程師
Department Mgr.	部門經理
General Mgr.	總經理
Teller	行員
Broker	經紀人
Checker	收銀員
Butcher	肉販
Groundskeeper	園丁
Apartment Mgr	公寓經理
Repairman	維修員
T-BillS	國庫券
Gold	黃金
Silver	白銀
Pork Bellies	豬腩期貨
Blue Chip Stocks	績優股
Penny Stocks	低價股
Low Cost Apartment	平價公寓
Rent Office	租屋中心
Security Apartment	保全公寓
Black's Market	布萊克超市
Bank	銀行
Factory	工廠
Employment Office	職業介紹所
University	大學
Socket City	插座城
QT Clothing	Q.T服飾
Monolith	大石頭漢堡
Z-Mart	Z超商
Pawn Shoppe	當舖
Thank You for playing `Jones In The Fast Lane'. Would you like to play another game?	感謝您遊玩《人生劇場》。您想再玩一場嗎？
